city,year,page,line_no,organization_name,category,sub_category,line,address,description
Los Angeles,1887,1,1,Church of the Unity,Churches,,"Church of the Unity. Location at Grand Opera House, 8 South Main street. Rev. Eli Fay, Pastor; residence 123 South Hill street. Services are held each Sunday at 11 A. M. Sunday School each Sunday at 12:40 P. M.",,
Los Angeles,1887,1,2,First Baptist Church,Churches,,"First Baptist Church. Location corner Fort and Sixth streets. Rev. P. W. Dorsey, Pastor; residence 726 Pearl. Services 11 a. M. and 7:30 P. M. Sunday School at 9:40 A. M., and Young People's meeting at 6:40 P. M. Teachers' meeting and Prayer meeting Thursdays at 7 P. M.",,
Los Angeles,1887,1,3,East Los Angeles Baptist Church,Churches,,"East Los Angeles Baptist Church. Location, corner Workman and Hawkins streets. Rev. C. W. Gregory, Pastor; residence, adjoining church. Services Sundays at 11 A. M. and 7:30 P. M. Sunday school at 12 M. Prayer meeting Thursdays at 7:30 P. M. Young people's meeting Sundays at 6:15 P. M.",,
Los Angeles,1887,1,4,Central Baptist Church,Churches,,"Central Baptist Church. Location, 108 North Main street. Rev. William H. Pendleton, Pastor; residence southeast corner of Eighth and Flower streets. Services Sunday at 11 A. M. and 7:30 P. M. Sunday School and Bible Class at 10 A. M. Services Thursday evenings at 7:30.",,
Los Angeles,1887,1,5,Boyle Heights Baptist Mission,Churches,,"Boyle Heights Baptist Mission. In charge of Rev. William H. Pendleton. Prayer meetings are held each Wednesday at 7:30 P. M., at Ascension Hall, 382 East First street, Boyle Heights.",,
Los Angeles,1887,1,6,"Second Baptist Church, Colored",Churches,,"Second Baptist Church, Colored. Location, 119 Requena street. Rev. Stewart C. Pierce, Pastor; residence 119 Requena street. Services each Sunday at 11 A. M. and 7:30 P. M. Sunday School at 3 P. M. Prayer meeting Thursdays at 7:30 P. M.",,
Los Angeles,1887,1,7,"Baker Chapel, Baptist",Churches,,"Baker Chapel, Baptist. Location, north side York street, between Grand Avenue and South Main street. Rev. H. C. Bristol, Assistant Pastor First Baptist Church, is in charge. Residence 15 Walnut Avenue. Services each Sunday at 4 P. M. Sunday School at 3 P. M. Prayer meeting each Tuesday evening at 7:30.",,
Los Angeles,1887,1,8,First Congregational Church,Churches,,"First Congregational Church. Location, corner Hill and Third streets. Rev. A. J. Wells, Pastor; residence, 881 South Hill street. Rev. S. H. Wheeler, Associate Pastor. Services Sundays at 11 A. M. and 7 P. M. Social meetings Thursdays at 7 P. M. Sabbath school at 12 M.",,
Los Angeles,1887,1,9,Congregational Church,Churches,,"Congregational Church. Location East Los Angeles. Rev. J.-H. Phillips, Pastor; residence Lecouvreur, near Workman. Services are at present held in Campbell's Hall temporarily until a site for a new Church is selected. Services are held on Sundays at 11 A. M. Sunday school at 12:20 P. M.",,
Los Angeles,1887,10,1,cathedral school,Churches,,cathedral school,,
Los Angeles,1887,10,4,school and asylum of the sisters of charity,Benevolent and Fraternal,,school and asylum of the sisters of charity,,
Los Angeles,1887,10,7,university of southern california,Uncategorized,,university of southern california,,
Los Angeles,1887,10,8,university of southern california,Uncategorized,,"the university of southern california was founded in 1879 and was formally opened for students october, 1880. it is under control of a board of directors, elected annually by the southern california conference of the methodist episcopal church. the endowment fund is under the control and management of separate boards of trustees. the past year has been a steady gain over the year previous. education within the walls of the school, while positively christian, is in no wise sectarian. the textbooks in use are selected wholly on account of their merits, and not for denominational purposes or ends. the institution will treat the most advanced views on all subjects, its aims being symmetry of life and character. it believes in a richly endowed humanity. as early as 1874 it became apparent that los angeles was to become one of the great centers of the pacific coast. a variety of circumstances contributed to make this an irresistible conclusion. railroads from the north and east were working their way, slowly but surely, toward the southern coast. the wide and beautiful valley of los angeles, healthful and fertile from one end to the other, with its unsurpassed climate and charming scenery, combined to make this one of the most favorite spots on the continent. john r. tausey, presiding bakic",,
Los Angeles,1887,11,3,Los Angeles Academy,Uncategorized,,"September 6th, 1876, the Southern California Conference met and elected a Board of Trustees and established the Los Angeles Academy, electing O. S. Frambes principal and Mrs. S. E. Frambes preceptress.",,
Los Angeles,1887,11,16,University of Southern California,Uncategorized,,"First This incorporation shall be known by the corporate name of ""The University of Southern California.""",,
Los Angeles,1887,13,1,Maclay College of Theology,Miscellaneous,,Maclay College of Theology.,,
Los Angeles,1887,13,7,University of Southern California,Uncategorized,,"He has prospered, and when, a few months since, he sold the large ranch for four hundred thousand dollars, three hundred thousand of which was the share of Bro. Maclay, he at once gave one hundred and fifty thousand of the amount to the founding of the Maclay College of Theology of the University of Southern California.",,
Los Angeles,1887,13,12,University of Southern California,Uncategorized,,"Dear Brother Please hand this letter to Rev. M. M. Bovard as my order upon R. M. Widney for issuing and requiring him to issue ($150,000) one hundred and fifty thousand dollars of the stock of the San Fernando Land and Water Co., for the endowment of the Maclay College of Theology of the University of Southern California.",,
Los Angeles,1887,13,18,Tulare Seminary,Uncategorized,,Tulare Seminary.,,
Los Angeles,1887,14,4,Escondido Seminary,Uncategorized,,Escondido Seminary.,,
Los Angeles,1887,14,9,San Diego College of Fine Arts,Uncategorized,,San Diego College of Fine Arts.,,
Los Angeles,1887,14,12,College of Medicine of the University of Southern California,Uncategorized,,College of Medicine of the University of Southern California.,,
Los Angeles,1887,15,1,Dispensary Clinics,Welfare Organizations,,"of Dispensary Clinics; A. F. Darling, M. D., Professor of of Ophthalmology and Otology; R. M. Widney, attorney at law, Professor of Medical Jurisprudence; W. Edgar Lindley, M. D., Demonstrator of Anatomy.",,
Los Angeles,1887,15,2,City and County Hospital,Hospitals,,"CLINICAL FACILITIES-The College has the use, for clinical purposes, of the City and County Hospital, containing one hundred and fifty beds, and of the Los Angeles Infirmary, under charge of the Sisters of Charity, having one hundred and fifty beds. The new Infirmary building, which has just been finished at a cost of about $80,000, is in its appointments one of the most complete in the United States. In these hospitals may be found, owing to the cosmopolitan character of the population, and the constant travel by sea and by land from all parts of the world, disease in all its forms and in almost every race and nationality. Clinical lectures, both surgical and medical, are delivered regularly to the classes in both institutions, and the students are given every opportunity to examine the cases.",,
Los Angeles,1887,15,4,Dispensary Clinics,Uncategorized,,"A free dispensary is also established at the College building, with an average daily attendance of from twenty to twenty-five sick. Daily clinics are held under the Chief of the Dispensary Clinics, and the various professors. Students are enabled to witness daily a wide range of cases in surgery, medicine, gynecology, ophthalmology and otology, venerial diseases, and diseases of children. Advanced students will be put in charge of cases under the supervision of the Chief of Clinics.",,
Los Angeles,1887,15,6,College,Uncategorized,,"All medicines for the free dispensary are compounded in the College building, under the observation of, and largely by, the medical students, so that a practical course in pharmacy is added to their other training.",,
Los Angeles,1887,15,7,Coroner's office,Uncategorized,,"Arrangements are made by which the numerous autopsies of the Coroner's office are utilized when deemed advantageous for purposes of instruction in morbid, traumatic and surgical anatomy, and medical jurisprudence.",,
Los Angeles,1887,15,8,University,Uncategorized,,"Arrangements for dissecting are very complete, and the supply of material abundant. As in the other Colleges of the University, both sexes are admitted to the course. A separate dissecting room is, however, furnished for women students.",,
