city,year,page,line_no,organization_name,category,sub_category,line,address,description
Rochester,1909,13953737,2,Chute Sanatorium,Hospitals,,"Chute Sanatorium—123 W. Eighth. Charles H. Chute, Propr.",,
Rochester,1909,13953737,3,Rochester State Hospital,Hospitals,,"Rochester State Hospital—E Fifth 1 1/2 miles e of Broadway. Dr. Arthur F. Kilbourne, Supt.",,
Rochester,1909,13953737,4,St. Mary's Hospital,Hospitals,,St. Mary's Hospital—S s Zumbro 3 w of Cascade rd. Sister Mary Joseph in charge.,,
Rochester,1909,13953737,6,FRIEDELL FAMILY ORCHESTRA,Miscellaneous,,"FRIEDELL FAMILY ORCHESTRA—110-112 W Fourth; 5 pieces. Leader, Wm. H. Friedell. (See p. 11).",,
Rochester,1909,13953737,7,Rochester City Band,Miscellaneous,,"Rochester City Band—3d floor Horton blk.; 20 pieces. Pres., Albert Fakler; Treas., Ernest Schlitgus; Mngr., John Norton; Leader, Ralph L. Blakely.",,
Rochester,1909,13953737,8,Rochester Junior Band,Youth Organizations,,"Rochester Junior Band—3d floor Horton blk; 22 pieces. Board of Directors, A. R. Cooke, W. F. Riedell, L. S. Gustine; Leader, Ralph L. Blakely.",,
Rochester,1909,13953737,9,Schwartz's Orchestra,Miscellaneous,,"Schwartz's Orchestra—219 S Pearl; 6 pieces. Leader, Lester W. Schwartz.",,
Rochester,1909,13953737,11,"FIRST NATIONAL BANK OF ROCHESTER, The",Uncategorized,,"FIRST NATIONAL BANK OF ROCHESTER, The—201 S Broadway. Inc 1864; capital, $100,000; surplus and undivided profits, $51,339.41. Pres., A. C. Gooding; Vice-Pres., Burt W. Eaton; Cashr., Edward F. Cook; Asst. Cashr., W. W. Churchill. (See front cover).",,
Rochester,1909,13953737,12,"ROCHESTER NATIONAL BANK, The",Uncategorized,,"ROCHESTER NATIONAL BANK, The—Broadway n e cor Third. Est 1861, inc 1874; capital, $50,000; surplus and undivided profits, $14,651. Pres., H. M. Nowell; 1st Vice-Pres., C. H. Ross; 2d Vice-Pres., C. C. Storing; Cashr., George B. Doty; Asst. Cashr., R. C. Nowell. (See left top lines).",,
Rochester,1909,13953737,1,UNION NATIONAL BANK,Uncategorized,,"UNION NATIONAL BANK-301 S Broadway. Est 1868; inc 1873. Capital, $50,000; surplus and undivided profits, $50,174. Pres., E. A. Knowlton; Vice-Pres., J. A. Cole; Cashr., John Hall; Asst. Cashr., T. F. Kennedy. (See back cover.)",,
Rochester,1909,13953737,3,A. O. U. W. Hall,Uncategorized,,A. O. U. W. Hall-314-316 S Broadway.,,
Rochester,1909,13953737,4,Brackenridge Block,Uncategorized,,Brackenridge Block-19-21 W Zumbro.,,
Rochester,1909,13953737,5,Castle Hall,Civic Organizations,,Castle Hall-Broadway se cor Fifth.,,
Rochester,1909,13953737,6,City Hall,Civic Organizations,,City Hall-21-25 W Third ne cor Main.,,
Rochester,1909,13953737,7,County Jail,Uncategorized,,County Jail-505 W Zumbro.,,
Rochester,1909,13953737,8,Crowell Flats,Uncategorized,,Crowell Flats-119-123 N Main.,,
Rochester,1909,13953737,9,German Library Hall,Uncategorized,,German Library Hall-2112 S Broadway.,,
Rochester,1909,13953737,10,Horton Block,Uncategorized,,Horton Block-Zumbro n w cor Broadway.,,
Rochester,1909,13953737,11,I. O. O. F. Block and Hall,Uncategorized,,I. O. O. F. Block and Hall-23-25 W Zumbro n e cor Main.,,
Rochester,1909,13953737,12,Kennedy Block,Benevolent and Fraternal,,Kennedy Block-12 W Third.,,
Rochester,1909,13953737,13,K. of P. Hall,Uncategorized,,K. of P. Hall-Broadway se cor Fifth.,,
Rochester,1909,13953737,14,Leland Block,Benevolent and Fraternal,,Leland Block-227-229 S Broadway.,,
Rochester,1909,13953737,15,Masonic Temple,Uncategorized,,Masonic Temple—Zumbro n w cor Main.,,
Rochester,1909,13953737,16,Metropolitan Opera House Block,Uncategorized,,Metropolitan Opera House Block-Broadway se cor Fourth.,,
Rochester,1909,13953737,17,Palace Block,Uncategorized,,Palace Block-313-315 S Broadway.,,
Rochester,1909,13953737,18,Ramsey Block,Uncategorized,,Ramsey Block-20-26 W Zumbros e cor Main.,,
Rochester,1909,13953737,19,Rochester National Bank Building,Uncategorized,,Rochester National Bank Building-Broadway n e cor Third.,,
Rochester,1909,13953737,20,Rommel Block,Uncategorized,,Rommel Block-17-21 S Broadway.,,
Rochester,1909,13953737,21,San Souci Flats,Uncategorized,,San Souci Flats-Colleges e cor Main.,,
Rochester,1909,13953737,22,Trades and Labor Hall,Benevolent and Fraternal,,Trades and Labor Hall-227 S Broadway.,,
Rochester,1909,13953737,23,Union Labor Hall,Benevolent and Fraternal,,"Union Labor Hall-Leland blk, 227-229 S Broadway.",,
Rochester,1909,13953737,24,Union National Bank Building,Uncategorized,,"Union National Bank Building-Broadway, sw cor Third.",,
Rochester,1909,13953737,25,Wagoner Block,Uncategorized,,Wagoner Block-Main n w cor Fourth.,,
Rochester,1909,13953737,26,Wentick's Modern Flats,Uncategorized,,Wentick's Modern Flats-18-20 W College.,,
Rochester,1909,13953738,1,First Congregational Church-Zumbro,Churches,,"First Congregational Church-Zumbro sw cor Franklin. Organized, 1858. Membership, 290. Sunday services, 10:30 a. m. and 7:30 p. m. Sunday school, 12 m. Mid-week prayer meeting, Wednesday, 7:30 p. m. Pastor, Rev. Victor L. Greenwood, r 215 W Third.",,
Rochester,1909,13953738,2,Calvery-Zumbro,Churches,,"Calvery-Zumbro s e cor Grove. Organized, June 7th, 1860. Inc Jan. 15, 1861. Membership, 325. Sunday services, 9:45 a. m., 10:30 a. m. and 7:30 p. m. Sunday school, 12 m. Pastor, Rev. W. W. Fowler, r 111 S Prospect.",,
Rochester,1909,13953738,3,Salem's Church of the Evangelical Association,Churches,,"Salem's Church of the Evangelical Association-W Fourth s w cor Grove. Organized, 1873. Membership, 36. Sunday services, II a. m. Sunday school, to a. m. Prayer meeting, Wednesday, 7:30 p. m. Pastor, Rev. Samuel R. Iwig, r 107 S Grove.",,
Rochester,1909,13953738,4,Bethel-E,Churches,,"Bethel-E s Prospect 2 n of Third. Organized, 1869. Membership, 115. Sunday services, 10:30 a. m. and 7:30 p. m. Sunday school, 12 m. Christian Endeavor, 6:30 p. m. Junior Christian Endeavor, 3:30 p. m. Prayer meeting, Wednesday, 8 p. m. Pastor, Rev. Asmund Ofte dal, r 225 W Third.",,
Rochester,1909,13953738,5,Evangelical Lutheran Church of Peace,Churches,,"Evangelical Lutheran Church of Peace-Broadway n w cor Winona av. Organized, 1907. Membership, 50. Sunday services, 10:30 a. m. and 7:30 p. m. Sunday school, 12 m. Pastor, Rev. Wm. W. Bunge, r 620 N Broadway.",,
Rochester,1909,13953738,6,Evangelical Lutheran Synod Church,Churches,,"Evangelical Lutheran Synod Church-Zumbro se cor Franklin. Organized, 1865. Sunday services every alternate Sunday, 10:30 a. m. and 7:30 p. m. Sunday school, 12 m. Pastor, Rev. Carl B. Ingebrigtson, r 204 S Franklin.",,
Rochester,1909,13953739,1,GEO. P. KEITER'S German Evangelical Lutheran Church,Churches,,"GEO. P. KEITER'S German Evangelical Lutheran Church-Fifth s w cor Prospect. Organized, 1865. Membership, 130 families. Sunday services, 10:30 a. m. and 7:30 p. m. Sunday school, 12 m. Pastor, Rev. C. W. Nickels, r 120 N Franklin.",,
Rochester,1909,13953739,2,First Methodist Episcopal Church,Churches,,"First Methodist Episcopal Church-Fifth n w cor Franklin. Organized 1856. Membership, 620. Sunday services, 10:30 a. m. and 7:30 p. m. Sunday school, 12 m. Epworth League, 6:30 p. m. Midweek prayer meeting, Wednesday, 7:30 p. m. Pastor, Rev. O. W. Taylor, r 115 W Fifth.",,
