city,year,page,line_no,organization_name,category,sub_category,line,address,description
Oxnard,1952,1,2,"SEARS, ROEBUCK AND CO",Uncategorized,,"SEARS, ROEBUCK AND CO, 2750 E Main, Ventura, Tel Miller 3-8661 (For further information see page 21 Buyers' Guide, back cover and left top lines)",,
Oxnard,1952,1,3,Austin's Camera Shop,Uncategorized,,Austin's Camera Shop 35 S Oak (Ventura),,
Oxnard,1952,1,4,County Camera Shop,Uncategorized,,County Camera Shop 442 E Main (Ventura),,
Oxnard,1952,1,5,Holland-McCarty,Uncategorized,,Holland-McCarty 560 E Main (Ventura),,
Oxnard,1952,1,6,Buena Canning Co,Uncategorized,,Buena Canning Co 180 N Garden (Ventura),,
Oxnard,1952,1,7,Deardorff-Jackson Co,Uncategorized,,Deardorff-Jackson Co 1135 Mountain View av (Oxnard),,
Oxnard,1952,1,8,Gumpertz W H Co,Uncategorized,,Gumpertz W H Co 511 E 5th (Oxnard),,
Oxnard,1952,1,9,Malibu Canning Co,Uncategorized,,Malibu Canning Co 262 S 5th (Port Hueneme),,
Oxnard,1952,1,10,Ramirez & Feraud Chili Co,Uncategorized,,Ramirez & Feraud Chili Co 130 N Garden (Ventura),,
Oxnard,1952,1,11,Ventura Processors Inc,Uncategorized,,Ventura Processors Inc 2325 Vista Del Mar dr (Ventura),,
Oxnard,1952,1,13,COCA-COLA BOTTLING CO OF VENTURA,Uncategorized,,"COCA-COLA BOTTLING CO OF VENTURA, 2314 Thompson Blvd at Seaward Av, Ventura, Tel Miller 3-2074 (For further information see page 9 Buyers' Guide)",,
Oxnard,1952,1,15,Oxnard Rug & Upholstery Cleaners,Uncategorized,,Oxnard Rug & Upholstery Cleaners 338 S 5th (Oxnard),,
Oxnard,1952,1,16,Pamar Cleaners,Uncategorized,,Pamar Cleaners 835 E Front (Ventura),,
Oxnard,1952,1,17,Sechrist Rug & Upholstering Cleaners,Uncategorized,,Sechrist Rug & Upholstering Cleaners 379 Arcade dr (Ventura),,
Oxnard,1952,1,19,BOWLER FURNITURE CO INC,Uncategorized,,"BOWLER FURNITURE CO INC, 265 E Main, Ventura, Tel Miller 3-8685, Economy Branch 591 N Ventura Av, Ventura, Tel Miller 3-3593 (For further information see page 30 Buyers' Guide)",,
