city,year,page,line_no,organization_name,category,sub_category,line,address,description
Cedar Rapids,1876,30,1,Steamer Cedar Rapids No 1,Civic Organizations,,"Steamer Cedar Rapids No 1.-Meets first Monday in every month at Engine House, South Washington, between Eagle and Park avenue.",,
Cedar Rapids,1876,30,3,"Relief"" Hook and Ladder Co. No. 1",Civic Organizations,,"""Relief"" Hook and Ladder Co. No. 1. Meets at City Hall second Tuesday in each month. Foreman, C. W. Eaton; First Assistant Foreman, G. W. Wynn; Second Assistant Foreman, D. Anderson; Secretary Chas. Hubbard; Treasurer, Sam Neidig.",,
Cedar Rapids,1876,30,4,"Independent Fire Co. No, 1",Civic Organizations,,"Independent Fire Co. No, 1, E. S. Hill. Engine House, corner Iowa avenue and South Commercial. Foreman, George Lincoln; Assistant Foreman, L. M. Ayres; Secretary, E. A. Buttolph; Treasurer, J. A. Hart; Captain, P. H. Francis; Assistant Captain, B. S. MeQuinn.",,
Cedar Rapids,1876,30,5,William Greene Independent Fire Co. No. 2,Civic Organizations,,"William Greene Independent Fire Co. No. 2.-Meets first Thursday of each month, at Engine House, Washington Street, bet Eagle and Park avenue. Foreman, J. C. Loomis; First Assistant Foreman. D. H. Richards; Second Assistant Foreman, IA. H. DeGeere; Engineer, L. O. Cottle; Secretary, E. W. H. Winter; Treasurer, J. L. Sawyer.",,
Cedar Rapids,1876,30,6,African (M. E). Church,Churches,,"African (M. E). Church. Monroe, between Greene and Brown, Rev. J. W. Lewis, Pastor, services 10:30 a. m., and 7:30 p. m.",,
Cedar Rapids,1876,30,7,Baptist Church,Churches,,"Baptist Church. Corner of Eagle and Adams streets, Rev. William Wilder, Pastor, services 10:30 a. m., and 7:20 p. m.",,
Cedar Rapids,1876,30,8,Bohemian Church (Catholic),Churches,,"Bohemian Church (Catholic). Queensbury, near Shearer streets, Rev. Francis Cnamelar Pastor.",,
Cedar Rapids,1876,30,9,Church of the Immaculate Conception (Catholic),Churches,,"Church of the Immaculate Conception (Catholic). Corner of Jackson and Park Avenue, Rev. C. J. Lowery, Pastor, Mass 8 a. m., High Mass 10:30 a. m., Vespers 3:30 p. m.",,
Cedar Rapids,1876,30,10,Evangelical Lutheran Church (English),Churches,,"Evangelical Lutheran Church (English). Corner of Adams and Franklin avenue, Rev. George W. Snyder, Pastor, services 10:30 a. m., and 7:30 p. m.",,
Cedar Rapids,1876,30,11,St. Paul's (M. E.) Church,Churches,,"St. Paul's (M. E.) Church. Corner of Madison and Franklin avenue, Kev. Emmerson K. Young, Pastor, services 10:30 a. m., and 7:30 p. m.",,
Cedar Rapids,1876,30,12,First Presbyterian Church,Churches,,"First Presbyterian Church, Corner of Park avenue and Madison streets, Rev. A. K. Baird, Pastor, services 10:30 a. m. and 7:30 p. m.",,
Cedar Rapids,1876,30,13,Second Presbyterian Church,Churches,,"Second Presbyterian Church. Corner of Park avenue and Adams streets, Rev Thaddeus McRae, Pastor, services 10:40 a. m., and 7:30 p. m.",,
Cedar Rapids,1876,31,1,United Presbyterian Church,Churches,,"United Presbyterian Church. Corner of Park avenue and See- ond streets, West Cedar Rapids, Rev. James Duncan, Pastor, services 10:30 a. m., and 7:30 p. m.",,
Cedar Rapids,1876,31,2,Grace Church,Churches,,"Grace Church (Episcopal), Corner of Linn and Monroe, Rev. A. A. Butler, Pastor, services 10:30 a. m., and 7:30 p. m.",,
Cedar Rapids,1876,31,3,Universalist Church,Churches,,"Universalist Church. Corner of Park avenue and Monroe, Rev. B. F. Rogers, Pastor, services 10:30 a. m., and 7:30 p. m.",,
Cedar Rapids,1876,31,4,BOARD OF EDUCATION,Civic Organizations,,BOARD OF EDUCATION.,,
Cedar Rapids,1876,31,7,ADAMS SCHOOL,Civic Organizations,,ADAMS SCHOOL.,,
Cedar Rapids,1876,31,10,JEFFERSON SCHOOL,Civic Organizations,,JEFFERSON SCHOOL.,,
Cedar Rapids,1876,31,13,MADISON SCHOOL,Civic Organizations,,MADISON SCHOOL.,,
Cedar Rapids,1876,31,16,MONROE SCHOOL,Civic Organizations,,MONROE SCHOOL.,,
Cedar Rapids,1876,31,19,WASHINGTON SCHOOL,Civic Organizations,,WASHINGTON SCHOOL.,,
Cedar Rapids,1876,32,4,ST. JOSEPH'S ACADEMY OF THE SACRED HEART,Churches,,ST. JOSEPH'S ACADEMY OF THE SACRED HEART.,,
Cedar Rapids,1876,32,5,Sisters of Mercy,Churches,,"173 Park avenue, conducted by the Sisters of Mercy. Sister Mary",,
Cedar Rapids,1876,32,7,COE COLLEGIATE INSTITUTE,Miscellaneous,,COE COLLEGIATE INSTITUTE.,,
Cedar Rapids,1876,32,12,City National Bank,Uncategorized,,City National Bank. Corner South Commercial and Iowa ave-,,
Cedar Rapids,1876,32,16,First National Bank,Uncategorized,,"First National Bank.-54 Eagle street. Capital $100,000. Surplus,",,
Cedar Rapids,1876,32,20,Union Bank,Uncategorized,,Union Bank. Corner Iowa avenue and North Washing-,,
Cedar Rapids,1876,32,25,A. F. & A. M.,Benevolent and Fraternal,,A. F. & A. M.,,
Cedar Rapids,1876,32,26,Crescent Lodge No. 25,Benevolent and Fraternal,,"Crescent Lodge No. 25, meets first Monday after full moon of",,
Cedar Rapids,1876,32,31,Trowel Chapter No. 49,Benevolent and Fraternal,,"Trowel Chapter No. 49. Stated meetings, first Monday before",,
Cedar Rapids,1876,33,1,Mt. Herman Lodge No. 263,Benevolent and Fraternal,,"Mt. Herman Lodge No. 263. Meets first Thursday after first Monday after full moon. W. M., G. R. Skinner; S. W., O. C. L. Jones;",,
Cedar Rapids,1876,33,4,"Apolo Commandry, No. 26 K. T",Benevolent and Fraternal,,"Apolo Commandry, No. 26 K. T. Meets second Friday in each month, corner Iowa avenue and S. Washington street. Sir Knight E.",,
Cedar Rapids,1876,33,8,Linn Encampment No. 49,Benevolent and Fraternal,,"Linn Encampment No. 49.-Meets second and fourth Tuesday's of each month. C. P., Simon Adelsheim; H. P., C. Fordyce; Scribe",,
Cedar Rapids,1876,33,10,Cedar Rapids Lodge No. 141,Benevolent and Fraternal,,"Cedar Rapids Lodge No. 141. Meets Monday evenings of each week. N G., Stephen Skinner; V. G., G. W. Bettesworth; Secretary,",,
Cedar Rapids,1876,33,12,Home Rebeca Degree Lodge No. 79,Benevolent and Fraternal,,"Home Rebeca Degree Lodge No. 79.-Meets every Friday evening. N. G, Simon Adelsheim; V. G., Mrs. Maggie Patton; Secretary,",,
Cedar Rapids,1876,33,14,Mozart Lodge No. 183,Benevolent and Fraternal,,"Mozart Lodge No. 183.-Meets every Thursday evening, corner South Washington and Eagle streets. N. G., Charles Barinsky;",,
Cedar Rapids,1876,33,16,Young Men's Christian Association of the State of Iowa,Youth Organizations,,"Young Men's Christian Association of the State of Iowa.-President, R. H. Gilmore, of Cedar Rapids; Vice-Presidents, Wm. Thack-",,
Cedar Rapids,1876,33,20,Iowa Sabbath School Association,Youth Organizations,,"Iowa Sabbath School Association.-Fifth District, R. H. Gilmore, President, Cedar Rapids; E. O. Parker, Secretary, Brooklyn..",,
Cedar Rapids,1876,33,21,"Cedar Rapids Headquarters ""Woman's Christian Temperance Union",Welfare Organizations,,"Cedar Rapids Headquarters ""Woman's Christian Temperance Union,"" Mrs. E. A. Wheeler, President; Mrs. M. J. Aldrich, Cor.",,
Cedar Rapids,1876,33,23,"""Woman's Christian Temperance Union",Welfare Organizations,,"""Woman's Christian Temperance Union,"" of Cedar Rapids, Free Reading Room, under the auspices of the W. C. T. Union, No. 11",,
