city,year,page,line_no,organization_name,category,sub_category,line,address,description
Stockton,1876,41199,1,CITY FINANCES BANKS,Uncategorized,,CITY FINANCES BANKS.,,
Stockton,1876,41199,2,The Bank of Stockton,Uncategorized,,The Bank of Stockton.,,
Stockton,1876,41199,4,San Joaquin Valley Bank,Uncategorized,,San Joaquin Valley Bank.,,
Stockton,1876,41199,1,Stockton Savings and Loan Society,Uncategorized,,"Stockton Savings and Loan Society. Incorporated August 12th, 1867. Capital, $500,000-500 shares of $100 each. Place of business, corner Main and Hunter. J. M. Kelsey, President; James Littlehale, Cashier.",,
Stockton,1876,41199,2,First National Gold Bank of Stockton,Uncategorized,,"First National Gold Bank of Stockton. Incorporated November -, 1872. Capital, $400,000, in 4,000 shares. Place of business, corner Main and Hunter streets. Frank Stewart, President; H. H. Hewlett, Cashier.",,
Stockton,1876,41199,2,st. john's church,Churches,,"st. john's church (protestant episcopal), corner miner avenue and el dorado street. services at 11 a. m. and 8 p. m. rev. h. l. foote rector.",,
Stockton,1876,41199,3,reformed church,Churches,,"reformed church (german), miner avenue, corner stanislaus. services by rev. l. c. edmonds, pastor, at 11 a. m. and 8 p. m. sabbath school at 2 p. m.",,
Stockton,1876,41199,4,christian church,Churches,,"christian church, sutter street. preaching every sunday at 11 a. m. and 8 p. m. sunday school at 10 a. m. prayer meeting thursday evening. h. d. connell pastor.",,
Stockton,1876,41199,5,st. mary's catholic church,Churches,,"st. mary's catholic church. organized in 1852. location, washington street, between hunter and san joaquin. rev. w. b. o'connor rector; rev. m. o'riordan and john mccarthy assistants. parsonage, 230 hunter. mass at 8 and high mass at 10:30 a. m.; vespers at 8 p. m.; sunday school at 2 p. m. number of scholars, 500.",,
Stockton,1876,41199,6,church of the latter day saints,Churches,,"church of the latter day saints. - organized in 1860. meets at 10:30 a. m. and 7:30 p. m., every sunday. this congregation owns a small church located on the southeast corner of clay and sutter streets. number of members, 46. henry p. robbins, presiding elder; john blake, priest; william gadbury, deacon; , teacher. church opened for divine worship april 25, 1875.",,
Stockton,1876,41199,7,congregation ryhim ahoovim,Churches,,"congregation ryhim ahoovim. - east side hunter street, between lindsay and fremont streets. rev. h. david son, rabbi; residence, miner avenue near hunter street.",,
Stockton,1876,41199,8,african m. e. church,Churches,,"african m. e. church.-commerce street, between washington and lafayette streets. services at 11 o'clock a. m. and 8 o'clock p. m. sabbath school at 1 o'clock p. m., i. b. barton, superintendent. rev. j. c. hamilton, pastor.",,
Stockton,1876,41199,9,second baptist church,Churches,,"second baptist church. -rev. samuel e. reid, pastor. services at 11 o'clock a. m. and 8 o'clock p. m. sabbath school at 2 p. m. prayer meeting on wednesday evening.",,
Stockton,1876,41199,2,"SAN JOAQUIN, No. 19, F. and A. M.",Benevolent and Fraternal,,"Masonic. SAN JOAQUIN, No. 19, F. and A. M. - Meet Monday on or before the full of the moon, at Masonic Hall. Number of members, 80. M. S. Thresher, W. M.; Isaac Lothrop, S.W.; J. A. Hosmer, J. W.; Wm. Graham, Treasurer; C. A. Rug gles, Secretary; -. Barnes, S. D.; S. G. S. Dunbar, J. D.; Julius Steiny and Charles Brutchy, Stewards; Thos. Driver, Tyler.",,
Stockton,1876,41199,3,"MORNING STAR, No. 68, F. and A. M.",Benevolent and Fraternal,,"MORNING STAR, No. 68, F. and A. M. - Meet fourth Thursday of every month at Masonic Hall. Number of members, 145. George A. McKenzie, W. M.; B. F. Bagley, S. W.; D. L. Campbell, J. W.; T. K. Hook, Treasurer; M. H. Bond, Secretary; E. B. Noble, S. D.; James E. Requa, J. D.; E. E. Hood and John Yardley, Stewards; Thomas Driver, Tyler.",,
Stockton,1876,41199,4,"CHAPTER NO. 28, R. A. M.",Benevolent and Fraternal,,"CHAPTER NO. 28, R. A. M. - Meet on the fourth Tuesday of every month, at Masonic Hall. Number of members, 80. Geo. A. McKenzie, H. P.; Wm. Graham, K.; Isaac Lothrop, Scribe; E. R. Hedges, Treasurer; L. E. Lyon, Secretary; D. L. Campbell, C. of H.; Edward Scott, P. S.; Joseph Fife, R. A. C.; Geo. F. Smith, M. of 3d V.; Julius Steiny, M. of 2d V.; James E. Requa, M. of 1st V.; Thos. Driver, Guard.",,
Stockton,1876,41199,5,"STOCKTON COUNCIL, No. 10.",Secret Societies,,"STOCKTON COUNCIL, No. 10. - Stated meetings, first Wednesday in each month. Master; Gilbert Hedges, P. C. W; Tilghman, Record; George A. McKen shal; James Hume.",,
