city,year,page,line_no,organization_name,category,sub_category,line,address,description
San Jose,1870,32701.0,1,Baptist,Churches,,"Baptist. Rev. E. D. Simons, pastor; location, Second Street corner of San Antonio. Pastor's residence, 439 Second Street near the Church. This Church is capable of accommodating about two hundred and fifty persons; regular services on the Sabbath at eleven o'clock A.M. and at half past seven P.M. About one hundred and sixty children attend the Sabbath School, attached to this Church, under the superintendence of Mr. F. E. Adams. Number of teachers, sixteen. Number of volumes in Sabbath School Library, four hundred.",,
San Jose,1870,32701.0,2,Methodist Episcopal Church,Churches,,"Methodist Episcopal Church. Rev. W. J. Maclay, pastor; location, 290 Second Street between St. John and Santa Clara. This is a new Church, erected during the past year, to supply the place of the one burned in February last. This Church is capable of accommodating about seven hundred persons; regular services on the Sabbath at eleven o'clock A. M., and at half past seven P.M. The Sabbath School attached to this Church has an average attendance of about one hundred and seventy-five scholars, under the superintendence of Mr. C. C. Stephens.",,
San Jose,1870,32701.0,3,Methodist Episcopal Church-German,Churches,,"Methodist Episcopal Church-German. Rev. C. H. Afflerbach, pastor. Regular services at present held in the City Hall, at a quarter before eleven o'clock A.M., and at seven o'clock P.M. Sabbath School attached to this Church, at nine o'clock in the morning, numbering about one hundred and twenty-five scholars. Number of teachers, twelve; superintendent, Mr. F. Kuchenbeiser. Number of volumes in Sabbath School Library, five hundred. This society is building a Church at 362 Third Street, which is expected to accommodate a congregation of about three hundred.",,
San Jose,1870,32701.0,4,Meeting House,Churches,,"Meeting House, Denomination of Friends. Location, St. John Street cor Ninth. Regular services on the Sabbath at eleven o'clock A.M. Sabbath School at ten o'clock A.M.; J. Hobson, teacher. Number of scholars, fifteen. Small library.",,
San Jose,1870,32701.0,1,Presbyterian Church,Churches,,"Presbyterian Church. Rev. W. Alexander, pastor; location, 271 Second Street. Pastor's residence, 144 First. This Church is capable of accommodating about five hundred persons. Regular services every Sabbath morning at eleven o'clock, and evening at half past seven o'clock. Attached to this Church is a flourishing Sabbath School, numbering about two hundred scholars, under the superintendence of Mr. George H. Hare. Number of volumes in Sabbath School Library, six hundred.",,
San Jose,1870,32701.0,2,St. Phillip's Episcopal Mission (Colored),Churches,,"St. Phillip's Episcopal Mission (Colored). Rev. P. W. Cassey, Missionary in charge. Services at Phenixonian Hall, San Antonio Street cor Third, at eleven o'clock A.M., and at five o'clock P.M. Sunday School, at four o'clock P.M. Number of scholars, thirty-eight; number of teachers, five; Jacob Overton, superintendent.",,
San Jose,1870,32701.0,3,Roman Catholic Church,Churches,,"Roman Catholic Church. Rev. D. Kenny, pastor; Rev. Antonio Goets, first assistant, and Rev. B. Picardo (Spanish), second assistant. Location, San Fernando Street cor Market. The building is capable of accommodating about six hundred persons. Regular services, daily at half past six o'clock A.M.; Sunday, at six and half past six o'clock A.M., and at nine o'clock A.M., (for Spanish); and at half past ten o'clock A.M., and at half past seven o'clock P.M., (for English). Sunday School, at two o'clock. Number of scholars, forty, in charge of the pastor.",,
San Jose,1870,32701.0,4,"Trinity Church, Episcopal",Churches,,"Trinity Church, Episcopal. Rev. E. S. Peake, rector; location, cor St. John and Second Streets. This Church seats about three hundred persons. Regular services, on the Sabbath, at eleven o'clock A.M., and at seven o'clock P.M. Sunday School, with about seventy scholars, is held every Sabbath at two o'clock P.M., in the Church; Rev. E. S. Peake, superintendent. Number of volumes in Sunday School Library, three hundred.",,
San Jose,1870,32701.0,5,Zion Methodist Episcopal Church (Colored),Churches,,"Zion Methodist Episcopal Church (Colored). Rev. A. Stevens, pastor; location, San Antonio Street cor Fourth. Regular services, on the Sabbath, at half past eleven o'clock A.M., and at seven o'clock P.M.",,
San Jose,1870,32701.0,1,"SAN JOSE LODGE NO. 10, F. AND A. M.",Secret Societies,,"SAN JOSE LODGE NO. 10, F. AND A. M., (SAN JOSE). - Date of Charter, November 28th, 1850. Nights of meeting, first and third Monday of each month.",,
San Jose,1870,32701.0,2,"SANTA CLARA LODGE NO. 34, F. AND A. M.",Secret Societies,,"SANTA CLARA LODGE NO. 34, F. AND A. M., (SANTA CLARA).- Date of Charter, May 6th, 1853. Night of meeting, first Saturday on or before the full moon.",,
San Jose,1870,32701.0,3,"KEITH LODGE NO. 187, F. AND A. M.",Secret Societies,,"KEITH LODGE NO. 187, F. AND A. M., (GILROY). - Date of Charter, October 15th, 1868. Night of meeting, third Saturday in each month.",,
San Jose,1870,32701.0,4,"MOUNTAIN VIEW LODGE NO. 194, F. AND A. M.",Secret Societies,,"MOUNTAIN VIEW LODGE NO. 194, F. AND A. M., (MOUNTAIN VIEW).-Date of Charter, October 14th, 1869. Night of meeting, first Tuesday prior to the full moon.",,
San Jose,1870,32701.0,5,"HOWARD CHAPTER NO. 14, ROYAL ARCH MASONS",Benevolent and Fraternal,,"HOWARD CHAPTER NO. 14, ROYAL ARCH MASONS, (SAN JOSE).",,
